,P_GEN
8887,0.0408510638297872
1420,0.109
1921,0.081
3913,0.1881462140992167
10263,0.1721580547112461
6545,0.0220668693009118
2757,0.208
8815,0.0563525835866261
3339,0.063
9901,0.0003647416413373
2598,0.009
8384,0.0496048632218845
3842,0.2893472584856396
10240,0.0003647416413373
9007,0.0169604863221884
9782,0.3114893617021276
6938,0.0003647416413373
3131,0.046
6825,0.0826139817629179
380,0.007
11400,0.0003647416413373
7953,0.1066869300911854
10632,0.0003647416413373
5235,0.1947258485639686
4651,0.2605221932114882
6952,0.0147720364741641
11226,0.1072340425531914
6714,0.0654711246200607
11130,0.3065653495440729
9164,0.20790273556231
11589,0.0003647416413373
1078,0.308
10917,0.0003647416413373
11770,0.0003647416413373
8457,0.0145896656534954
3440,0.037
3742,0.0286684073107049
6978,0.0120364741641337
7367,0.0003647416413373
713,0.236
9473,0.0003647416413373
10764,0.0003647416413373
2527,0.033
11463,0.200790273556231
11604,0.1462613981762918
6875,0.1745288753799392
2297,0.011
8181,0.0003647416413373
11309,0.0003647416413373
3620,0.062
9257,0.0105775075987841
1375,0.141
2185,0.101
2707,0.003
3710,0.02
11207,0.0003647416413373
2105,0.005
639,0.021
7695,0.0003647416413373
1948,0.085
8574,0.0211550151975683
7976,0.0275379939209726
9854,0.0003647416413373
9803,0.0003647416413373
6178,0.0001566579634464
8131,0.000547112462006
11045,0.035015197568389
749,0.187
3022,0.268
7187,0.000547112462006
1488,0.024
6466,0.0003647416413373
953,0.028
4398,0.0316449086161879
7627,0.2281458966565349
8361,0.0134954407294832
7080,0.0003647416413373
5927,0.1024543080939947
1508,0.139
10950,0.0206079027355623
6380,0.2520364741641337
2411,0.026
617,0.0
7567,0.0102127659574468
5150,0.1774934725848563
4615,0.1339425587467362
6587,0.05580547112462
9294,0.0089361702127659
8359,0.0672948328267477
11536,0.0003647416413373
11413,0.0226139817629179
5681,0.0675195822454308
3957,0.0036031331592689
2634,0.208
8477,0.005288753799392
9635,0.1055927051671732
6202,0.2913838120104438
1491,0.014
4628,0.2157180156657963
910,0.01
4448,0.2970234986945169
9545,0.1756231003039513
5521,0.084751958224543
7902,0.000547112462006
8998,0.0003647416413373
10908,0.0003647416413373
1539,0.088
2512,0.021
7050,0.1652279635258358
820,0.0
5724,0.2166579634464751
1133,0.311
11255,0.0003647416413373
7116,0.1214589665653495
2147,0.026
9281,0.0003647416413373
6114,0.0355613577023498
8786,0.1703343465045592
1652,0.028
2999,0.114
5647,0.2738381201044386
5445,0.0607832898172323
8258,0.0446808510638297
2616,0.065
11614,0.2153799392097264
5931,0.205065274151436
11034,0.3010942249240121
4385,0.2124281984334203
9484,0.0003647416413373
6831,0.0849848024316109
5375,0.198798955613577
9626,0.0003647416413373
11523,0.0156838905775075
2210,0.031
3232,0.088
584,0.034
9271,0.0651063829787234
4664,0.0195822454308093
4041,0.147728459530026
10189,0.0003647416413373
10430,0.0003647416413373
11295,0.0003647416413373
9888,0.2673556231003039
3715,0.083
8134,0.0003647416413373
5307,0.0642297650130548
5992,0.072219321148825
899,0.013
11752,0.046322188449848
9822,0.0140425531914893
11694,0.0003647416413373
8026,0.004741641337386
5720,0.2694516971279373
2350,0.13
6263,0.116396866840731
1535,0.169
10935,0.1194528875379939
9364,0.2992705167173252
11393,0.0003647416413373
5451,0.0126892950391644
971,0.05
588,0.009
3212,0.104
4319,0.1898694516971279
703,0.006
8283,0.0003647416413373
9397,0.2100911854103343
6828,0.0880851063829787
11264,0.0315501519756838
2241,0.121
9607,0.0594528875379939
7814,0.043951367781155
5595,0.0299216710182767
248,0.252
2025,0.06
7885,0.0003647416413373
10692,0.1851063829787234
1027,0.043
8618,0.0003647416413373
10427,0.0003647416413373
6103,0.2403133159268929
1470,0.025
6115,0.0361879895561357
6947,0.0003647416413373
5407,0.0153524804177545
6840,0.0003647416413373
4237,0.1077806788511749
11525,0.0021884498480243
11764,0.0107598784194528
8847,0.0003647416413373
10211,0.1159878419452887
9342,0.0111246200607902
3102,0.007
7144,0.0811550151975683
4750,0.1644908616187989
6738,0.009483282674772
6131,0.0150391644908616
4036,0.1928459530026109
8058,0.1075987841945288
602,0.106
5303,0.0206788511749347
4974,0.0509138381201044
5210,0.2243342036553524
5879,0.1959791122715404
3336,0.068
10592,0.0147720364741641
2901,0.021
6716,0.0521580547112461
11496,0.0003647416413373
2339,0.075
7640,0.0339209726443769
7540,0.0144072948328267
1243,0.2
1954,0.297
10035,0.1172644376899696
9875,0.1599392097264437
9320,0.0665653495440729
1613,0.169
6240,0.0646997389033942
2696,0.103
6359,0.0003647416413373
8096,0.0585410334346504
5337,0.2171279373368145
2359,0.066
6384,0.2544072948328267
