,Power
5099,0.0
6338,0.0
2073,0.0
6596,6608.0
10062,9008.0
4488,10144.0
2012,0.0
15864,1872.0
11376,0.0
9770,8496.0
13457,3344.0
9645,0.0
15114,0.0
10670,416.0
10161,6064.0
13072,720.0
1106,0.0
8345,0.0
15958,4768.0
10657,0.0
11628,0.0
15968,2736.0
7219,7824.0
5254,5936.0
7469,7456.0
11011,6480.0
16193,192.0
16683,1856.0
9953,4592.0
1838,0.0
15486,5680.0
2654,0.0
17292,0.0
12212,1648.0
12375,0.0
2702,0.0
7777,0.0
14441,0.0
14262,0.0
16908,0.0
1005,0.0
3566,0.0
12445,0.0
17327,0.0
8609,816.0
16180,0.0
9411,0.0
15815,704.0
359,8032.0
3016,0.0
4392,3840.0
3103,7760.0
911,0.0
13636,0.0
11615,0.0
8510,1488.0
9548,0.0
15095,7888.0
3479,10144.0
9402,0.0
10975,5552.0
9298,2000.0
8391,576.0
2156,0.0
3273,0.0
1475,48.0
3231,352.0
14732,0.0
11906,0.0
3835,0.0
2534,0.0
10217,0.0
11243,0.0
7131,9952.0
3255,0.0
3882,0.0
59,0.0
6720,0.0
9790,0.0
2885,0.0
14373,928.0
2779,0.0
10788,3072.0
11510,128.0
2751,0.0
8982,0.0
3954,800.0
2946,152.0
11177,0.0
836,232.0
8489,0.0
15291,1120.0
4020,192.0
2708,512.0
992,5016.0
7499,0.0
8625,2848.0
8644,0.0
13856,1392.0
2781,0.0
8648,0.0
2919,0.0
10369,0.0
15371,0.0
5673,0.0
12123,8896.0
8811,7120.0
17222,0.0
13519,5744.0
13933,0.0
4206,4960.0
4021,176.0
6078,6512.0
10350,5008.0
5808,0.0
3122,0.0
5456,1072.0
14159,0.0
119,600.0
7246,0.0
7121,5456.0
14389,0.0
14132,6432.0
2660,1592.0
16197,1856.0
4397,2912.0
16788,0.0
15029,0.0
3884,0.0
1354,0.0
8326,6752.0
14442,0.0
16339,1568.0
9125,0.0
15726,4080.0
3240,9936.0
434,0.0
3372,0.0
13723,0.0
1905,3464.0
11161,10016.0
4608,0.0
10910,256.0
1029,5280.0
8909,9216.0
783,0.0
13584,0.0
7944,4160.0
3378,1280.0
14921,0.0
16961,400.0
8266,0.0
8551,0.0
4034,0.0
16460,0.0
12347,0.0
9496,144.0
801,544.0
11899,0.0
894,6888.0
5463,16.0
6938,5664.0
13356,0.0
6197,0.0
14010,0.0
17115,7840.0
17086,0.0
9416,0.0
8413,624.0
11937,5552.0
1683,0.0
10881,5200.0
12613,240.0
17380,0.0
2715,1968.0
16340,1936.0
16719,0.0
10127,0.0
6256,3904.0
12442,0.0
760,0.0
8960,7168.0
6418,864.0
8576,688.0
3333,1008.0
13129,10032.0
4654,0.0
13346,0.0
15693,0.0
3497,0.0
13493,0.0
3966,3504.0
5765,0.0
2952,424.0
14292,0.0
7541,0.0
13542,0.0
14580,32.0
14261,0.0
16214,0.0
16522,0.0
8942,1200.0
17322,0.0
13754,9568.0
2150,0.0
1129,392.0
15122,0.0
3622,2256.0
9502,0.0
16622,0.0
16026,0.0
12441,0.0
9581,8848.0
15299,16.0
9823,3760.0
5677,176.0
5889,2704.0
10248,4688.0
753,2568.0
14377,1568.0
9432,9632.0
1736,0.0
4792,0.0
15641,0.0
3564,0.0
14578,1152.0
11827,2480.0
7854,6640.0
15497,0.0
15327,0.0
5825,2848.0
14112,0.0
1755,1392.0
9246,9040.0
4124,0.0
7170,4464.0
613,0.0
9726,8672.0
11992,0.0
14396,0.0
15762,1360.0
16109,1968.0
12001,0.0
5668,0.0
4591,6640.0
6171,2048.0
3812,4768.0
14231,4320.0
1914,0.0
14671,5808.0
12246,0.0
3964,2736.0
3932,0.0
12940,4176.0
15513,0.0
15000,8112.0
7766,624.0
8110,0.0
16191,0.0
5909,0.0
5610,0.0
11939,2832.0
5646,9744.0
17135,0.0
4884,720.0
920,0.0
12600,10128.0
5492,1440.0
2038,1160.0
3052,10056.0
16157,6816.0
6419,256.0
76,1512.0
1281,1792.0
1145,0.0
14563,1104.0
7088,3488.0
7198,0.0
1882,0.0
15124,0.0
12690,5744.0
4166,32.0
16924,6448.0
14727,0.0
14496,0.0
6633,0.0
1089,536.0
17564,0.0
3385,5264.0
9264,0.0
15926,0.0
9260,0.0
10752,0.0
11604,1040.0
2539,0.0
5528,0.0
12381,0.0
7188,1168.0
14381,896.0
7964,0.0
9320,0.0
9322,0.0
2929,0.0
2769,5280.0
7837,576.0
4446,9952.0
14673,2640.0
15550,0.0
10568,0.0
10599,160.0
9992,0.0
2957,1840.0
13394,0.0
14364,0.0
1440,0.0
5158,3328.0
9749,0.0
8356,0.0
262,7056.0
10064,6000.0
9653,0.0
1741,0.0
13156,0.0
8841,0.0
2866,4440.0
1822,0.0
2381,6248.0
1075,824.0
7755,7888.0
16997,0.0
3902,64.0
10063,8032.0
12362,8592.0
10782,3712.0
7343,0.0
11001,0.0
16015,864.0
14725,0.0
750,7392.0
3073,0.0
205,0.0
16273,0.0
14649,0.0
3014,0.0
5810,0.0
7195,0.0
11055,1888.0
16530,1088.0
3405,0.0
14866,736.0
16917,5072.0
17499,3600.0
14004,0.0
7312,4512.0
12587,0.0
1663,736.0
10516,0.0
330,0.0
5805,0.0
16763,0.0
4385,1248.0
5156,5616.0
16900,0.0
8083,5264.0
14758,8224.0
13864,0.0
4914,1984.0
13363,6768.0
7805,9104.0
5179,0.0
5891,2592.0
4027,0.0
4803,0.0
15699,0.0
2899,5704.0
8774,944.0
9417,0.0
15547,0.0
4821,8576.0
1120,0.0
10748,0.0
10987,0.0
11080,0.0
12241,0.0
3946,0.0
15011,144.0
1386,0.0
7488,0.0
2842,0.0
12406,8000.0
14190,4112.0
12342,0.0
15874,80.0
5675,0.0
6963,0.0
5718,0.0
715,0.0
7168,1712.0
4892,0.0
9455,0.0
13628,0.0
16278,0.0
11960,0.0
16332,0.0
11970,5440.0
6156,16.0
6562,4400.0
9220,0.0
12656,6400.0
14851,4624.0
5413,928.0
3876,256.0
747,9160.0
14322,624.0
14753,2432.0
12365,8288.0
15445,0.0
53,0.0
9235,6832.0
6458,9600.0
412,3688.0
15523,4688.0
1992,1088.0
16567,0.0
1956,16.0
4374,0.0
6548,7696.0
16364,0.0
13688,0.0
12044,0.0
15719,5600.0
15709,0.0
2294,0.0
14166,0.0
16014,1872.0
12263,1600.0
7651,6784.0
135,0.0
5552,2496.0
57,0.0
12308,384.0
302,0.0
6928,4000.0
5819,0.0
5526,0.0
15682,16.0
13108,0.0
10960,3024.0
12608,6352.0
2185,9416.0
4929,272.0
9516,0.0
223,5216.0
4147,1424.0
5074,3600.0
3270,0.0
13873,0.0
17306,8288.0
9751,0.0
5894,448.0
782,0.0
15556,0.0
13748,7584.0
6608,4352.0
15727,2496.0
17016,816.0
11002,0.0
11069,7216.0
13256,0.0
5201,864.0
14987,0.0
9997,208.0
11435,0.0
1302,0.0
10845,0.0
17464,0.0
14686,0.0
5635,8240.0
16545,880.0
17071,3680.0
10081,0.0
17069,4368.0
4495,8192.0
8090,8032.0
10412,0.0
4148,1808.0
15764,2368.0
819,0.0
15974,0.0
4174,0.0
15586,176.0
5833,10144.0
13670,0.0
9646,0.0
8816,5216.0
8954,9920.0
12113,3504.0
3340,2272.0
1100,0.0
10473,0.0
298,0.0
11358,8080.0
1544,0.0
9917,9296.0
14793,0.0
6214,10176.0
8749,768.0
12433,0.0
16254,464.0
16449,576.0
4115,1584.0
11683,2272.0
10049,1728.0
7574,528.0
9079,0.0
9661,304.0
17206,208.0
13309,0.0
2189,6544.0
4657,0.0
9593,0.0
5123,3584.0
2364,0.0
14634,0.0
