,P_GEN
4268,0.0208355091383812
1327,0.036
8852,0.0003647416413373
3373,0.01
7999,0.0195136778115501
3384,0.022
3860,0.0775456919060052
4185,0.0479373368146214
2533,0.19
6611,0.0003647416413373
6225,0.1856396866840731
5387,0.0
885,0.013
9344,0.0357446808510638
10513,0.0999392097264437
4091,0.1883028720626631
2164,0.216
6978,0.0120364741641337
2335,0.127
642,0.009
3130,0.15
6855,0.0282674772036474
6970,0.1860182370820668
4300,0.04088772845953
5054,0.132219321148825
10020,0.0351975683890577
2843,0.037
9910,0.0003647416413373
2392,0.002
8787,0.1821884498480243
4418,0.3584334203655351
1387,0.156
1906,0.262
5220,0.0697127937336814
5750,0.0393211488250652
6069,0.0379112271540469
5316,0.2259007832898172
366,0.235
1934,0.075
11818,0.0003647416413373
10963,0.0003647416413373
1002,0.019
706,0.001
4563,0.3740992167101827
7289,0.1488145896656534
1900,0.173
146,0.011
6221,0.2669451697127937
10578,0.0003647416413373
2779,0.117
3218,0.022
5379,0.3814621409921671
5496,0.0211488250652741
4497,0.3283550913838119
1793,0.247
3642,0.039
3898,0.0186422976501305
2035,0.324
3090,0.194
6100,0.3036031331592689
8610,0.0003647416413373
1816,0.045
4528,0.1812532637075717
6840,0.0003647416413373
2866,0.059
10251,0.0003647416413373
8368,0.0003647416413373
2599,0.003
10204,0.0003647416413373
6857,0.1023100303951367
7583,0.3366565349544073
9181,0.000547112462006
11044,0.0705775075987842
1692,0.375
2424,0.238
1128,0.034
5271,0.3338381201044386
8291,0.1763525835866261
3422,0.013
2665,0.028
7549,0.0003647416413373
10886,0.2308814589665653
11195,0.0003647416413373
1755,0.004
6788,0.0003647416413373
11014,0.0003647416413373
4544,0.0339947780678851
2619,0.029
8078,0.000547112462006
578,0.146
2865,0.092
4576,0.0086161879895561
11426,0.0455927051671732
7542,0.0085714285714285
3094,0.134
5095,0.0202088772845953
11616,0.1440729483282674
1281,0.0
10165,0.103951367781155
22,0.011
11664,0.0384802431610942
1907,0.034
11105,0.0003647416413373
6104,0.2020887728459529
7282,0.0514285714285714
8783,0.3798784194528876
11378,0.0609118541033434
8177,0.0003647416413373
1254,0.002
9579,0.0003647416413373
11569,0.0727659574468085
5468,0.1019843342036553
9858,0.0003647416413373
11594,0.0003647416413373
828,0.074
579,0.095
9628,0.0003647416413373
8463,0.0003647416413373
1637,0.319
6244,0.1444386422976501
10957,0.0003647416413373
5554,0.2097650130548302
8679,0.1624924012158054
3444,0.169
786,0.045
1511,0.014
10958,0.0003647416413373
7238,0.039756838905775
7232,0.0003647416413373
8697,0.0082066869300911
2501,0.151
10140,0.0003647416413373
7271,0.0003647416413373
4232,0.1630809399477806
5475,0.0347780678851174
7985,0.0003647416413373
