,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
6240,13.1,87.0,11.0,3,749.0,0.0,80.0,3.44,0.0174899866488651
2696,23.2,74.0,18.3,0,752.0,0.0,416.0,17.89,0.0308510638297872
6359,16.8,56.0,7.9,3,763.2,0.0,0.0,0.0,0.0220125786163522
8096,19.0,85.0,16.4,0,763.3,0.0,27.0,1.16,0.0248919166775841
5337,19.3,56.0,10.3,0,766.6,0.0,540.0,23.22,0.0251761022697625
2359,20.2,68.0,14.1,0,757.2,0.0,212.0,9.12,0.0266772319070258
6384,18.9,56.0,9.9,2,766.7,0.0,787.0,33.85,0.0246511021259945
10070,15.8,81.0,12.5,0,759.5,0.0,48.0,2.06,0.0208031599736668
6787,16.8,65.0,10.2,1,764.7,0.0,83.0,3.57,0.0219693997646135
8524,16.8,86.0,14.4,1,758.9,0.0,0.0,0.0,0.0221373039926209
4208,25.4,52.0,14.9,0,759.6,0.0,83.0,3.57,0.0334386519220642
9130,21.2,74.0,16.4,1,758.3,0.0,80.0,3.44,0.0279572728471581
10848,21.8,61.0,14.0,1,765.9,0.0,263.0,11.31,0.0284632458545502
7258,16.3,74.0,11.6,3,757.0,0.0,302.0,12.99,0.0215323645970937
8370,17.6,85.0,15.1,1,764.6,0.0,0.0,0.0,0.0230185718022495
10208,15.6,92.0,14.3,2,756.9,0.0,6.0,0.26,0.0206103844629409
11267,12.7,86.0,10.4,2,764.1,0.0,32.0,1.38,0.0166208611438293
3503,9.2,94.0,8.3,2,736.6,0.0,58.0,2.49,0.0124898180830844
1453,24.0,54.0,14.1,2,754.0,0.0,825.0,35.48,0.0318302387267904
3406,16.2,76.0,11.9,2,757.8,0.0,35.0,1.51,0.0213776722090261
6557,14.2,68.0,8.3,1,767.7,0.0,0.0,0.0,0.0184968086492119
3201,13.7,90.0,12.1,1,746.0,0.0,17.0,0.73,0.0183646112600536
4826,24.9,50.0,13.8,0,760.9,0.0,230.0,9.89,0.0327244053095019
7693,17.6,74.0,12.9,0,758.8,0.0,2.0,0.09,0.0231945176594623
8917,17.4,61.0,9.8,3,754.5,0.0,52.0,2.24,0.0230616302186878
1839,15.4,87.0,13.2,0,750.6,0.0,132.0,5.68,0.0205169197974953
2529,17.0,76.0,12.7,0,760.0,0.0,54.0,2.32,0.0223684210526315
11065,16.8,86.0,14.5,0,757.8,0.0,0.0,0.0,0.0221694378463974
9738,15.9,57.0,7.4,3,759.7,0.0,722.0,31.05,0.0209293142029748
11483,17.2,75.0,12.7,2,762.3,0.0,0.0,0.0,0.022563295290568
5843,17.9,86.0,15.5,1,756.0,0.0,97.0,4.17,0.0236772486772486
909,13.6,95.0,12.8,1,756.4,0.0,59.0,2.54,0.0179799048122686
2899,13.4,96.0,12.8,0,759.0,0.0,39.0,1.68,0.0176548089591567
10003,15.2,96.0,14.6,1,747.8,0.0,0.0,0.0,0.0203262904519925
9090,19.8,66.0,13.2,0,756.2,0.0,0.0,0.0,0.0261835493255752
9037,20.5,66.0,13.9,3,759.5,0.0,0.0,0.0,0.0269914417379855
3671,12.3,87.0,10.2,0,744.1,0.0,15.0,0.65,0.0165300362854455
4666,15.6,74.0,11.0,0,759.1,0.0,0.0,0.0,0.0205506520879989
11787,15.1,88.0,13.1,0,768.9,0.0,0.0,0.0,0.0196384445311483
11004,16.9,83.0,14.0,0,759.7,0.0,0.0,0.0,0.0222456232723443
2990,20.7,60.0,12.7,1,759.8,0.0,105.0,4.52,0.0272440115819952
262,9.4,94.0,8.5,0,760.9,0.0,62.0,2.67,0.0123537915626232
6498,23.1,51.0,12.4,1,764.7,0.0,151.0,6.49,0.0302079246763436
2017,16.1,60.0,8.3,2,754.5,0.0,190.0,8.17,0.0213386348575215
8621,17.8,78.0,13.9,0,757.8,0.0,0.0,0.0,0.0234890472420163
4575,18.3,63.0,11.1,4,752.9,0.0,62.0,2.67,0.0243060167352902
10276,20.4,53.0,10.5,2,760.5,0.0,245.0,10.54,0.0268244575936883
9430,15.6,80.0,12.2,1,753.2,0.0,0.0,0.0,0.0207116303770578
5164,21.6,64.0,14.5,1,761.7,0.0,441.0,18.97,0.0283576211106734
11513,18.4,80.0,14.9,3,764.4,0.0,221.0,9.5,0.0240711669283097
3805,11.0,88.0,9.1,0,768.6,0.0,0.0,0.0,0.014311735623211
4748,24.7,65.0,17.6,2,757.0,0.0,686.0,29.5,0.0326287978863936
4583,11.1,90.0,9.5,0,758.5,0.0,9.0,0.39,0.0146341463414634
4733,16.9,92.0,15.6,0,758.6,0.0,20.0,0.86,0.0222778803058265
5272,20.2,90.0,18.5,0,755.5,0.0,103.0,4.43,0.0267372600926538
7877,22.4,72.0,17.1,1,756.5,0.0,471.0,20.26,0.0296100462656972
3744,12.6,91.0,11.2,0,759.2,0.0,6.0,0.26,0.0165964172813487
